#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
24/06/2020;874,5;0,06%;-1,5;-0,17%;30,5;3,61%;0,18
23/06/2020;874;-0,60%;-2,5;-0,29%;28,25;3,34%;-1,93
22/06/2020;879,25;-0,17%;6,25;0,72%;21,75;2,54%;-0,55
19/06/2020;880,75;0,54%;4,75;0,54%;27,5;3,22%;1,75
18/06/2020;876;-0,06%;-3,75;-0,43%;20,25;2,37%;-0,18
17/06/2020;876,5;0,40%;-0,25;-0,03%;27,25;3,21%;1,29
16/06/2020;873;-0,34%;-3,25;-0,37%;25,25;2,98%;-1,10
15/06/2020;876;-0,43%;2;0,23%;25,75;3,03%;-1,38
12/06/2020;879,75;0,34%;4,25;0,49%;17;1,97%;1,10
11/06/2020;876,75;0,06%;-1,75;-0,20%;11;1,27%;0,18
10/06/2020;876,25;0,26%;-2,25;-0,26%;15;1,74%;0,83
09/06/2020;874;-0,17%;5,75;0,66%;19;2,22%;-0,55
08/06/2020;875,5;-0,34%;14,25;1,65%;32,25;3,82%;-1,10
05/06/2020;878,5;0,00%;27,25;3,20%;28,25;3,32%;0,00
04/06/2020;878,5;1,18%;27;3,17%;31,25;3,69%;3,77
03/06/2020;868,25;0,81%;10,5;1,22%;8;0,93%;2,57
02/06/2020;861,25;1,17%;2;0,23%;-4,75;-0,55%;3,67
01/06/2020;851,25;-0,03%;-6,5;-0,76%;3;0,35%;-0,09
29/05/2020;851,5;-0,73%;7,5;0,89%;8,75;1,04%;-2,30
28/05/2020;857,75;-0,17%;12;1,42%;10,5;1,24%;-0,55
27/05/2020;859,25;0,17%;1,75;0,20%;9;1,06%;0,55
26/05/2020;857,75;1,63%;4,5;0,53%;0,25;0,03%;5,05
22/05/2020;844;-0,21%;-11,75;-1,37%;-9,25;-1,08%;-0,64
21/05/2020;845,75;-1,37%;-3,5;-0,41%;-5,75;-0,68%;-4,32
20/05/2020;857,5;0,50%;9,75;1,15%;10,5;1,24%;1,56
19/05/2020;853,25;-0,29%;3;0,35%;0,25;0,03%;-0,92
18/05/2020;855,75;0,77%;-7;-0,81%;-0,75;-0,09%;2,39
15/05/2020;849,25;0,18%;-16,5;-1,91%;-13,25;-1,54%;0,55
14/05/2020;847,75;-0,29%;-13,5;-1,57%;-18,5;-2,14%;-0,92
13/05/2020;850,25;-1,45%;-4,75;-0,56%;-22,75;-2,61%;-4,59
12/05/2020;862,75;-0,35%;19,5;2,31%;-19,5;-2,21%;-1,10
