Timestamp,Soybean,Soymeal,Soyoil,Corn,DalianSBM,DalianSBO,BRL,CNY
2020-06-24,874.5,293.6,28.85,329.5,2815,5758,5.169,7.0759
2020-06-23,874.0,292.5,29.04,329.0,2831,5774,5.1542,7.0575
2020-06-22,879.25,293.2,29.22,333.0,2828,5790,5.2524,7.0678
2020-06-19,880.75,293.9,29.31,337.25,2808,5750,5.3105,7.0707
2020-06-18,876.0,295.2,28.87,335.5,2813,5668,5.3776,7.0869
2020-06-17,876.5,294.9,28.91,335.0,2815,5650,5.2286,7.084
2020-06-16,873.0,295.7,28.8,334.25,2825,5628,5.243,7.0854
2020-06-15,876.0,297.3,28.6,333.75,2822,5638,5.1557,7.0887
2020-06-12,879.75,297.9,28.42,334.5,2821,5634,5.0505,7.0805
2020-06-11,876.75,298.6,28.44,334.25,2810,5686,4.976,7.064
2020-06-10,876.25,297.7,28.94,330.75,2810,5732,4.9732,7.0599
2020-06-09,874.0,296.0,29.17,332.0,2813,5714,4.8992,7.0765
2020-06-08,875.5,297.3,29.04,338.25,2827,5670,4.823,7.07
2020-06-05,878.5,298.0,29.08,335.75,2848,5668,4.9585,7.0808
2020-06-04,878.5,298.7,28.76,333.5,2825,5650,5.119,7.1075
2020-06-03,868.25,295.2,28.8,328.5,2798,5680,5.0622,7.1115
2020-06-02,861.25,292.6,28.88,328.75,2795,5646,5.2014,7.0992
2020-06-01,851.25,292.0,28.54,327.75,2798,5652,5.3633,7.1242
2020-05-29,851.5,292.1,28.32,330.25,2793,5600,5.3361,7.1348
2020-05-28,857.75,293.2,28.33,332.0,2814,5536,5.4045,7.1447
2020-05-27,859.25,290.9,28.54,325.0,2812,5506,5.2733,7.1681
2020-05-26,857.75,292.8,28.21,323.5,2783,5468,5.345,7.134
2020-05-22,844.0,293.0,27.58,322.5,2748,5438,5.5338,7.1269
2020-05-21,845.75,291.4,28.05,322.25,2749,5468,5.5507,7.1138
2020-05-20,857.5,294.4,28.3,324.0,2745,5438,5.6925,7.0928
2020-05-19,853.25,293.5,28.03,325.75,2735,5430,5.754,7.098
2020-05-18,855.75,294.0,28.26,325.25,2728,5418,5.719,7.1086
2020-05-15,849.25,296.4,27.52,323.75,2703,5382,5.8554,7.1013
2020-05-14,847.75,297.1,27.12,322.0,2703,5338,5.8115,7.0935
2020-05-13,850.25,299.5,26.85,322.75,2731,5354,5.8852,7.0911
2020-05-12,862.75,301.0,27.2,326.75,2733,5338,5.8856,7.0816
2020-05-11,865.75,299.2,27.43,323.0,2755,5392,5.818,7.0972
2020-05-08,861.25,299.7,27.48,323.75,2753,5386,5.7319,7.0732
2020-05-07,855.0,297.0,27.2,322.5,2754,5348,5.8307,7.0825
2020-05-06,843.25,297.0,26.78,318.75,2746,5334,5.714,7.1031
2020-04-30,866.0,304.0,27.54,324.5,2725,5388,5.4858,7.06
2020-04-29,848.25,297.5,27.11,319.0,2723,5364,5.3348,7.0755
2020-04-28,842.75,297.3,26.71,316.5,2750,5346,5.4999,7.0776
2020-04-27,847.25,300.4,26.41,317.75,2765,5370,5.6526,7.0815
2020-04-24,850.25,301.5,26.44,327.5,2761,5462,5.5907,7.0813
2020-04-23,857.5,302.0,26.98,330.5,2766,5464,5.5335,7.0654
2020-04-22,853.25,301.8,26.93,329.25,2750,5372,5.458,7.0831
2020-04-21,851.5,303.4,26.7,321.75,2726,5356,5.3163,7.0914
2020-04-20,847.0,299.7,27.31,326.75,2741,5514,5.3168,7.0721
2020-04-17,853.0,302.0,27.61,333.75,2768,5516,5.2363,7.0711
2020-04-16,856.5,305.0,27.62,330.75,2783,5578,5.2333,7.0778
2020-04-15,862.5,305.5,27.88,331.25,2809,5514,5.2367,7.0664
2020-04-14,866.25,302.0,28.1,336.75,2797,5514,5.1621,7.045
2020-04-13,873.0,303.4,28.21,340.75,2824,5596,5.1994,7.0501
2020-04-09,882.25,306.7,28.72,341.25,2821,5644,5.107,7.0428
2020-04-08,873.25,307.0,28.49,339.5,2812,5584,5.1233,7.062
2020-04-07,873.5,308.0,28.79,341.0,2811,5540,5.2214,7.0428
2020-04-03,873.0,317.4,27.74,340.25,2814,5460,5.3506,7.0908
2020-04-02,877.5,323.3,27.55,343.0,2842,5432,5.2533,7.082
2020-04-01,881.5,329.1,27.36,344.25,2885,5458,5.2493,7.0989
2020-03-31,904.75,335.7,28.32,350.25,2936,5534,5.2046,7.0808
2020-03-30,901.0,339.7,28.18,350.75,2976,5574,5.1936,7.0986
2020-03-27,900.25,337.3,28.16,355.5,2927,5520,5.0997,7.0942
2020-03-26,899.0,337.1,27.81,358.25,2916,5578,5.0212,7.0709
2020-03-25,900.25,335.9,27.95,358.0,2956,5608,5.0353,7.1099
2020-03-24,905.5,346.3,27.86,356.75,2916,5560,5.0983,7.061
2020-03-23,902.75,347.8,27.45,353.0,2900,5492,5.1444,7.09
2020-03-20,881.25,339.4,26.95,353.25,2803,5458,5.0627,7.095
2020-03-19,862.0,329.0,26.79,355.0,2739,5362,5.0957,7.1058
2020-03-18,844.25,318.2,26.35,344.75,2767,5348,5.1064,7.0459
2020-03-17,843.0,312.5,26.55,353.5,2758,5288,5.0084,7.0058
2020-03-16,840.5,310.5,26.3,364.25,2776,5332,5.0002,6.9913
2020-03-13,867.5,313.7,27.68,375.25,2734,5272,4.858,7.0036
2020-03-12,878.25,317.0,27.69,375.25,2722,5370,4.791,7.0282
2020-03-11,892.0,315.8,28.84,384.0,2746,5546,4.8136,6.9599
2020-03-10,895.0,316.1,28.98,387.0,2748,5540,4.6425,6.9549
2020-03-09,888.75,314.6,28.85,382.25,2731,5542,4.7231,6.9448
2020-03-06,910.0,319.3,30.06,385.5,2769,5768,4.6269,6.9298
2020-03-05,915.75,318.1,30.7,391.25,2785,5850,4.6073,6.9366
2020-03-04,926.0,323.1,31.05,394.5,2787,5766,4.5847,6.9244
2020-03-03,922.25,324.3,30.47,390.75,2791,5748,4.5144,6.9579
2020-03-02,919.75,323.1,30.22,385.0,2762,5726,4.474,6.9595
2020-02-28,911.5,319.8,29.99,377.75,2719,5772,4.4733,6.9906
2020-02-27,913.75,317.8,30.5,377.5,2736,5870,4.4861,7.0036
2020-02-26,910.75,312.5,30.76,384.0,2712,5862,4.4502,7.0214
2020-02-25,907.0,307.2,30.93,386.0,2700,5892,4.3878,7.0128
