Timestamp,Soybean,DalianSBM,Corn
2012-12-20,,1676.0,
2012-12-21,,1670.0,
2012-12-24,,1687.0,
2012-12-25,,1651.0,
2012-12-26,,1655.0,
2012-12-27,,1660.0,
2012-12-28,,1667.0,
2012-12-31,,1624.0,
2013-01-04,,1557.0,
2013-01-07,,1569.0,
2013-01-08,,1595.0,
2013-01-09,,1615.0,
2013-01-10,,1589.0,
2013-01-11,,1577.0,
2013-01-14,,1654.0,
2013-01-15,,1693.0,
2013-01-16,,1700.0,
2013-01-17,,1724.0,
2013-01-18,,1700.0,
2013-01-21,,1708.0,
2013-01-22,,1723.0,
2013-01-23,,1745.0,
2013-01-24,,1693.0,
2013-01-25,,1702.0,
2013-01-28,,1737.0,
2013-01-29,,1735.0,
2013-01-30,,1780.0,
2013-01-31,,1830.0,
2013-02-01,,1812.0,
2013-02-04,,1828.0,
2013-02-05,,1834.0,
2013-02-06,,1846.0,
2013-02-07,,1829.0,
2013-02-08,,1868.0,
2013-02-18,,1796.0,
2013-02-19,,1823.0,
2013-02-20,,1863.0,
2013-02-21,,1849.0,
2013-02-22,,1937.0,
2013-02-25,,1877.0,
2013-02-26,,1875.0,
2013-02-27,,1862.0,
2013-02-28,,1877.0,
2013-03-01,,1896.0,
2013-03-04,,1895.0,
2013-03-05,,1932.0,
2013-03-06,,1914.0,
2013-03-07,,1916.0,
2013-03-08,,1940.0,
2013-03-11,,1929.0,
2013-03-12,,1882.0,
2013-03-13,,1856.0,
2013-03-14,,1802.0,
2013-03-15,,1809.0,
2013-03-18,,1723.0,
2013-03-19,,1729.0,
2013-03-20,,1755.0,
2013-03-21,,1798.0,
2013-03-22,,1795.0,
2013-03-25,,1778.0,
2013-03-26,,1789.0,
2013-03-27,,1802.0,
2013-03-28,,1815.0,
2013-03-29,,1734.0,
2013-04-01,1108.0,1727.0,745.75
2013-04-02,1111.25,1719.0,744.0
2013-04-03,1097.5,1657.0,745.0
2013-04-04,1089.25,,733.5
2013-04-05,1079.0,,732.5
2013-04-08,1095.25,1607.0,737.0
2013-04-09,1112.75,1643.0,747.75
2013-04-10,1110.0,1651.0,752.5
2013-04-11,1119.25,1629.0,754.75
2013-04-12,1130.25,1656.0,762.5
2013-04-15,1107.0,1638.0,749.25
2013-04-16,1126.25,1632.0,762.0
2013-04-17,1131.0,1675.0,762.5
2013-04-18,1141.0,1698.0,751.0
2013-04-19,1133.5,1727.0,754.25
2013-04-22,1115.25,1682.0,744.75
2013-04-23,1109.5,1663.0,735.25
2013-04-24,1096.25,1642.0,739.5
2013-04-25,1123.25,1643.0,745.75
2013-04-26,1132.0,1692.0,741.0
2013-04-29,1159.75,,781.0
2013-04-30,1150.0,,771.25
2013-05-01,1124.0,,768.0
2013-05-02,1123.25,1709.0,783.25
2013-05-03,1138.25,1724.0,782.5
2013-05-06,1120.25,1717.0,757.75
2013-05-07,1133.25,1706.0,761.25
2013-05-08,1141.75,1754.0,754.25
2013-05-09,1159.75,1758.0,770.0
2013-05-10,1150.0,1778.0,757.5
2013-05-13,1170.25,1773.0,776.75
2013-05-14,1165.75,1777.0,773.75
2013-05-15,1163.75,1774.0,772.0
2013-05-16,1178.5,1767.0,762.75
2013-05-17,1199.5,1801.0,774.0
2013-05-20,1215.5,1827.0,770.75
2013-05-21,1229.25,1839.0,761.25
2013-05-22,1245.25,1837.0,779.75
2013-05-23,1250.5,1864.0,783.25
2013-05-24,1227.25,1849.0,785.0
2013-05-27,,1835.0,
2013-05-28,1260.25,1839.0,799.5
